event_ID,P_NS,P_REM
GW170823,0.0014,0.0
GW170817,0.9977,0.997
GW170814,0.0014,0.0
GW170809,0.002,0.0
GW190408,0.0014,0.0
GW190412,0.0014,0.0
GW190413_052954,0.0014,0.0
GW190413_134308,0.0015,0.0
GW190421,0.0014,0.0
GW190425,0.9977,0.9969
GW190426,0.9971,0.0003
GW190503,0.0014,0.0
GW190512,0.0014,0.0
GW190513,0.0014,0.0
GW190517,0.0014,0.0
GW190519,0.0014,0.0
GW190521_074359,0.0014,0.0
GW190602,0.0014,0.0
GW190630,0.0014,0.0
GW190706,0.0053,0.0
GW190707,0.0014,0.0
GW190708,0.0014,0.0
GW190720,0.002,0.0
GW190727,0.0032,0.0
GW190728,0.0014,0.0
GW190814,0.0418,0.0
GW190828_063405,0.0016,0.0
GW190828_065509,0.0016,0.0
GW190915,0.0014,0.0
GW190924,0.0122,0.0
GW190930,0.0015,0.0
GW191109,0.0014,0.0
GW191129,0.0019,0.0
GW191204_171526,0.0014,0.0
GW191215,0.0014,0.0
GW191216,0.0014,0.0
GW191222,0.0014,0.0
GW200112,0.0015,0.0
GW200115,0.9976,0.0
GW200129,0.0014,0.0
GW200219,0.0015,0.0
GW200224,0.0044,0.0
GW200225,0.0015,0.0
GW200302,0.0014,0.0
GW200311,0.0014,0.0
GW200316,0.0015,0.0
GW200322,0.0045,0.0
